,0,1,2,3,4,5,6,7,8
0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,00001.jpg,2
1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,00002.jpg,4
2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,00003.jpg,1
3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,00004.jpg,4
4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,00005.jpg,3
5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,00006.jpg,3
6,0.0,0.0,1.0,0.0,0.0,0.0,0.0,00007.jpg,4
7,0.0,0.0,1.0,0.0,0.0,0.0,0.0,00008.jpg,5
8,0.0,0.0,1.0,0.0,0.0,0.0,0.0,00009.jpg,2
9,0.0,0.0,1.0,0.0,0.0,0.0,0.0,00010.jpg,3
10,0.0,0.0,1.0,0.0,0.0,0.0,0.0,00011.jpg,4
11,0.0,0.0,1.0,0.0,0.0,0.0,0.0,00012.jpg,4
12,0.0,0.0,1.0,0.0,0.0,0.0,0.0,00013.jpg,4
13,0.0,0.0,1.0,0.0,0.0,0.0,0.0,00014.jpg,4
14,0.0,0.0,1.0,0.0,0.0,0.0,0.0,00015.jpg,4
15,0.0,0.0,1.0,0.0,0.0,0.0,0.0,00016.jpg,2
16,0.0,0.0,1.0,0.0,0.0,0.0,0.0,00017.jpg,2
17,0.0,0.0,1.0,0.0,0.0,0.0,0.0,00018.jpg,5
18,0.0,0.0,1.0,0.0,0.0,0.0,0.0,00019.jpg,1
19,0.0,0.0,1.0,0.0,0.0,0.0,0.0,00020.jpg,1
20,0.0,0.0,0.0,0.0,0.0,0.0,1.0,00021.jpg,4
21,0.0,0.0,0.0,0.0,0.0,0.0,1.0,00022.jpg,5
22,0.0,0.0,0.0,0.0,0.0,0.0,1.0,00023.jpg,2
23,0.0,0.0,0.0,0.0,0.0,0.0,1.0,00024.jpg,1
24,0.0,0.0,0.0,0.0,0.0,0.0,1.0,00025.jpg,2
25,0.0,0.0,0.0,0.0,0.0,0.0,1.0,00026.jpg,5
26,0.0,0.0,0.0,0.0,0.0,0.0,1.0,00027.jpg,4
27,0.0,0.0,0.0,0.0,0.0,0.0,1.0,00028.jpg,4
28,0.0,0.0,0.0,0.0,0.0,0.0,1.0,00029.jpg,4
29,0.0,0.0,0.0,0.0,0.0,0.0,1.0,00030.jpg,5
30,0.0,0.0,0.0,0.0,0.0,0.0,1.0,00031.jpg,2
31,0.0,0.0,0.0,0.0,0.0,0.0,1.0,00032.jpg,5
32,0.0,0.0,0.0,0.0,0.0,0.0,1.0,00033.jpg,2
33,0.0,0.0,0.0,0.0,0.0,0.0,1.0,00034.jpg,5
34,0.0,0.0,0.0,0.0,0.0,0.0,1.0,00035.jpg,3
35,0.0,0.0,0.0,0.0,0.0,0.0,1.0,00036.jpg,5
36,0.0,0.0,0.0,0.0,0.0,1.0,0.0,00037.jpg,3
37,0.0,1.0,0.0,0.0,0.0,0.0,0.0,00038.jpg,2
38,0.0,0.0,1.0,0.0,0.0,0.0,0.0,00039.jpg,4
39,0.0,0.0,1.0,0.0,0.0,0.0,0.0,00040.jpg,3
40,1.0,0.0,0.0,0.0,0.0,0.0,0.0,00041.jpg,4
41,0.0,0.0,0.0,0.0,0.0,1.0,0.0,00043.jpg,2
42,1.0,0.0,0.0,0.0,0.0,0.0,0.0,00044.jpg,4
43,1.0,0.0,0.0,0.0,0.0,0.0,0.0,00045.jpg,5
44,1.0,0.0,0.0,0.0,0.0,0.0,0.0,00046.jpg,3
45,1.0,0.0,0.0,0.0,0.0,0.0,0.0,00047.jpg,2
46,1.0,0.0,0.0,0.0,0.0,0.0,0.0,00048.jpg,4
47,1.0,0.0,0.0,0.0,0.0,0.0,0.0,00049.jpg,5
48,1.0,0.0,0.0,0.0,0.0,0.0,0.0,00050.jpg,3
49,1.0,0.0,0.0,0.0,0.0,0.0,0.0,00051.jpg,5
50,0.0,0.0,1.0,0.0,0.0,0.0,0.0,00052.jpg,2
51,0.0,0.0,1.0,0.0,0.0,0.0,0.0,00053.jpg,1
52,0.0,0.0,1.0,0.0,0.0,0.0,0.0,00054.jpg,2
53,0.0,0.0,1.0,0.0,0.0,0.0,0.0,00055.jpg,3
54,0.0,0.0,1.0,0.0,0.0,0.0,0.0,00056.jpg,5
55,0.0,0.0,1.0,0.0,0.0,0.0,0.0,00057.jpg,2
56,0.0,0.0,1.0,0.0,0.0,0.0,0.0,00058.jpg,4
57,0.0,0.0,1.0,0.0,0.0,0.0,0.0,00059.jpg,5
58,0.0,0.0,1.0,0.0,0.0,0.0,0.0,00060.jpg,1
59,0.0,0.0,1.0,0.0,0.0,0.0,0.0,00061.jpg,5
60,0.0,0.0,1.0,0.0,0.0,0.0,0.0,00062.jpg,3
61,0.0,0.0,1.0,0.0,0.0,0.0,0.0,00063.jpg,1
62,0.0,0.0,1.0,0.0,0.0,0.0,0.0,00064.jpg,2
63,0.0,0.0,1.0,0.0,0.0,0.0,0.0,00065.jpg,3
64,0.0,0.0,1.0,0.0,0.0,0.0,0.0,00066.jpg,5
65,0.0,0.0,1.0,0.0,0.0,0.0,0.0,00067.jpg,4
66,0.0,0.0,1.0,0.0,0.0,0.0,0.0,00068.jpg,3
67,0.0,0.0,1.0,0.0,0.0,0.0,0.0,00069.jpg,4
68,0.0,0.0,1.0,0.0,0.0,0.0,0.0,00070.jpg,5
69,0.0,0.0,1.0,0.0,0.0,0.0,0.0,00071.jpg,4
70,0.0,0.0,0.0,0.0,0.0,1.0,0.0,00072.jpg,2
71,0.0,0.0,1.0,0.0,0.0,0.0,0.0,00073.jpg,5
72,0.0,0.0,1.0,0.0,0.0,0.0,0.0,00074.jpg,5
73,0.0,0.0,1.0,0.0,0.0,0.0,0.0,00075.jpg,4
74,0.0,0.0,1.0,0.0,0.0,0.0,0.0,00076.jpg,3
75,0.0,0.0,1.0,0.0,0.0,0.0,0.0,00077.jpg,4
76,0.0,0.0,1.0,0.0,0.0,0.0,0.0,00078.jpg,2
77,0.0,0.0,1.0,0.0,0.0,0.0,0.0,00079.jpg,5
78,0.0,0.0,1.0,0.0,0.0,0.0,0.0,00080.jpg,3
79,0.0,0.0,1.0,0.0,0.0,0.0,0.0,00081.jpg,1
80,0.0,0.0,1.0,0.0,0.0,0.0,0.0,00082.jpg,2
81,0.0,0.0,1.0,0.0,0.0,0.0,0.0,00083.jpg,5
82,0.0,0.0,1.0,0.0,0.0,0.0,0.0,00084.jpg,3
83,0.0,0.0,1.0,0.0,0.0,0.0,0.0,00085.jpg,4
84,0.0,0.0,1.0,0.0,0.0,0.0,0.0,00086.jpg,2
85,0.0,0.0,1.0,0.0,0.0,0.0,0.0,00087.jpg,5
86,0.0,0.0,1.0,0.0,0.0,0.0,0.0,00088.jpg,3
87,0.0,0.0,1.0,0.0,0.0,0.0,0.0,00089.jpg,1
88,0.0,0.0,1.0,0.0,0.0,0.0,0.0,00090.jpg,4
89,0.0,0.0,1.0,0.0,0.0,0.0,0.0,00091.jpg,2
90,0.0,0.0,1.0,0.0,0.0,0.0,0.0,00092.jpg,4
91,0.0,0.0,1.0,0.0,0.0,0.0,0.0,00094.jpg,1
92,0.0,0.0,1.0,0.0,0.0,0.0,0.0,00095.jpg,1
93,0.0,0.0,1.0,0.0,0.0,0.0,0.0,00096.jpg,4
94,0.0,0.0,1.0,0.0,0.0,0.0,0.0,00097.jpg,4
95,0.0,0.0,0.0,1.0,0.0,0.0,0.0,00098.jpg,5
96,0.0,0.0,0.0,1.0,0.0,0.0,0.0,00099.jpg,5
